====== Start Time ======
2021-08-20-16:08:57-CST

phc2sys[330775.422]: clock set to insert leap second at midnight (UTC)
phc2sys[331327.874]: CLOCK_REALTIME phc offset        14 s2 freq   -2459 delay   1245
phc2sys[331328.874]: CLOCK_REALTIME phc offset        -9 s2 freq   -2478 delay   1239
phc2sys[331329.875]: CLOCK_REALTIME phc offset       -27 s2 freq   -2499 delay   1273
phc2sys[331330.875]: CLOCK_REALTIME phc offset        19 s2 freq   -2461 delay   1252
phc2sys[331331.875]: CLOCK_REALTIME phc offset        -4 s2 freq   -2478 delay   1242
phc2sys[331332.875]: CLOCK_REALTIME phc offset         0 s2 freq   -2475 delay   1240
phc2sys[331333.875]: CLOCK_REALTIME phc offset         4 s2 freq   -2471 delay   1241
phc2sys[331334.875]: CLOCK_REALTIME phc offset        -1 s2 freq   -2475 delay   1255
phc2sys[331335.876]: CLOCK_REALTIME phc offset       -13 s2 freq   -2487 delay   1274
phc2sys[331336.876]: CLOCK_REALTIME phc offset        16 s2 freq   -2462 delay   1244
phc2sys[331337.876]: CLOCK_REALTIME phc offset         9 s2 freq   -2464 delay   1255
phc2sys[331338.876]: CLOCK_REALTIME phc offset        -9 s2 freq   -2480 delay   1243
phc2sys[331339.876]: CLOCK_REALTIME phc offset        -2 s2 freq   -2475 delay   1255
phc2sys[331340.876]: CLOCK_REALTIME phc offset        12 s2 freq   -2462 delay   1250
phc2sys[331341.876]: CLOCK_REALTIME phc offset         3 s2 freq   -2467 delay   1240
phc2sys[331342.876]: CLOCK_REALTIME phc offset        -4 s2 freq   -2474 delay   1249
phc2sys[331343.877]: CLOCK_REALTIME phc offset        -9 s2 freq   -2480 delay   1271
phc2sys[331344.877]: CLOCK_REALTIME phc offset        -2 s2 freq   -2475 delay   1244
phc2sys[331345.877]: CLOCK_REALTIME phc offset        -2 s2 freq   -2476 delay   1244
phc2sys[331346.877]: CLOCK_REALTIME phc offset         8 s2 freq   -2467 delay   1245
phc2sys[331347.877]: CLOCK_REALTIME phc offset        -6 s2 freq   -2478 delay   1244
phc2sys[331348.877]: CLOCK_REALTIME phc offset         3 s2 freq   -2471 delay   1251
phc2sys[331349.877]: CLOCK_REALTIME phc offset         2 s2 freq   -2471 delay   1251
phc2sys[331350.878]: CLOCK_REALTIME phc offset        -1 s2 freq   -2474 delay   1244
phc2sys[331351.878]: CLOCK_REALTIME phc offset        -7 s2 freq   -2480 delay   1268
phc2sys[331352.878]: CLOCK_REALTIME phc offset         1 s2 freq   -2474 delay   1241
phc2sys[331353.878]: CLOCK_REALTIME phc offset       -10 s2 freq   -2485 delay   1248
phc2sys[331354.879]: CLOCK_REALTIME phc offset        11 s2 freq   -2467 delay   1254
phc2sys[331355.879]: CLOCK_REALTIME phc offset         4 s2 freq   -2470 delay   1244
phc2sys[331356.879]: CLOCK_REALTIME phc offset        -1 s2 freq   -2474 delay   1251
phc2sys[331357.879]: CLOCK_REALTIME phc offset        -7 s2 freq   -2480 delay   1249
